"filename", "language", "JSON", "XML", "UnityShader", "C#", "Markdown", "comment", "blank", "total"
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTask.WhenAny.Generated.cs", "C#", 0, 0, 0, 4562, 0, 0, 498, 5060
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTask.WhenAny.cs", "C#", 0, 0, 0, 311, 0, 2, 47, 360
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTask.WhenEach.cs", "C#", 0, 0, 0, 154, 0, 2, 28, 184
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTask.asmdef", "JSON", 45, 0, 0, 0, 0, 0, 0, 45
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTask.cs", "C#", 0, 0, 0, 596, 0, 25, 91, 712
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskCompletionSource.cs", "C#", 0, 0, 0, 791, 0, 30, 123, 944
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskExtensions.Shorthand.cs", "C#", 0, 0, 0, 136, 0, 1, 50, 187
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskExtensions.cs", "C#", 0, 0, 0, 783, 0, 22, 119, 924
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskObservableExtensions.cs", "C#", 0, 0, 0, 628, 0, 5, 118, 751
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskScheduler.cs", "C#", 0, 0, 0, 77, 0, 14, 13, 104
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskSynchronizationContext.cs", "C#", 0, 0, 0, 133, 0, 3, 22, 158
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UniTaskVoid.cs", "C#", 0, 0, 0, 16, 0, 0, 4, 20
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.AssetBundleRequestAllAssets.cs", "C#", 0, 0, 0, 212, 0, 1, 41, 254
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.AsyncGPUReadback.cs", "C#", 0, 0, 0, 136, 0, 0, 28, 164
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.AsyncInstantiate.cs", "C#", 0, 0, 0, 319, 0, 5, 62, 386
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.Jobs.cs", "C#", 0, 0, 0, 79, 0, 3, 20, 102
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.MonoBehaviour.cs", "C#", 0, 0, 0, 13, 0, 0, 1, 14
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.cs", "C#", 0, 0, 0, 1018, 0, 6, 192, 1216
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAsyncExtensions.uGUI.cs", "C#", 0, 0, 0, 705, 0, 2, 152, 859
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityAwaitableExtensions.cs", "C#", 0, 0, 0, 16, 0, 0, 2, 18
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\UnityBindingExtensions.cs", "C#", 0, 0, 0, 211, 0, 4, 31, 246
